Model,Usable Battery,Year,Acceleration,Top Speed,Range,Efficiency,Charging Speed,Price (€)
Tesla Model Y Long Range Dual Motor,75,Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,"€59,017"
Tesla Model 3 ,57.5,Available since December 2021,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,"€44,668"
BYD ATTO 3 ,60.5,Available since August 2022,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,"€44,625"
Tesla Model Y ,57.5,Available since November 2022,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"€47,567"
Tesla Model 3 Long Range Dual Motor,75,Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,"€53,668"
MG MG4 Electric 64 kWh,61.7,Available since October 2022,7.9 sec,160 km/h,360 km,171 Wh/km,420 km/h,"€39,990"
Smart #1 ,62,Available since March 2023,6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,"€42,490"
Audi e-tron GT RS,85,Available since March 2021,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,"€146,050"
Tesla Model Y Performance,75,Available since March 2022,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,"€63,667"
BMW i4 eDrive40,80.7,Available since November 2021,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,"€59,200"
BMW iX xDrive40,71,Available since October 2021,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,"€77,300"
BMW iX1 xDrive30,64.7,Available since November 2022,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,"€55,000"
Tesla Model S Plaid,95,Available since November 2022,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,"€130,490"
Skoda Enyaq iV 80,77,Available since April 2021,8.6 sec,160 km/h,440 km,175 Wh/km,680 km/h,"€48,900"
Volvo EX30 Single Motor ER,64,Available since June 2023,5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,"€41,790"
Tesla Model 3 Performance,75,Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,"€57,668"
Kia Niro EV ,64.8,Available since June 2022,7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,"€45,690"
Mercedes EQE 350+,90.6,Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,N/A
Mercedes EQS 450+,107.8,Available since October 2021,6.2 sec,210 km/h,635 km,170 Wh/km,950 km/h,"€109,551"
Hyundai Kona Electric 64 kWh,64,Available since June 2021,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,"€42,900"
BMW iX3 ,74,Available since September 2021,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,"€67,300"
Tesla Model S Dual Motor,95,Available since January 2023,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,"€105,490"
Mercedes EQC 400 4MATIC,80,Available since November 2020,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,"€66,069"
BYD HAN ,85.4,Available since March 2023,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,"€70,805"
BYD TANG ,86.4,Available since August 2022,4.6 sec,180 km/h,360 km,240 Wh/km,330 km/h,"€71,400"
MG MG5 Electric Long Range,57.4,Available since March 2022,7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,"€38,490"
BMW iX xDrive50,105.2,Available since November 2021,4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,"€100,100"
Dacia Spring Electric 45,25,Available since July 2022,19.1 sec,125 km/h,165 km,152 Wh/km,180 km/h,"€22,550"
Renault Megane E-Tech EV60 220hp,60,Available since April 2022,7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,"€46,600"
Audi Q4 e-tron 40,76.6,Available since June 2021,8.5 sec,160 km/h,405 km,189 Wh/km,630 km/h,"€51,900"
MG MG4 Electric 51 kWh,50.8,Available since October 2022,7.7 sec,160 km/h,300 km,169 Wh/km,340 km/h,"€34,990"
MG ZS EV Long Range,68.3,Available since November 2021,8.4 sec,175 km/h,370 km,185 Wh/km,420 km/h,"€37,990"
BMW i4 M50,80.7,Available since November 2021,3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,"€70,800"
Volkswagen ID.4 Pro Performance,77,Available since January 2021,8.5 sec,160 km/h,410 km,188 Wh/km,630 km/h,"€46,335"
Kia EV6 GT,74,Available since April 2022,3.5 sec,260 km/h,360 km,206 Wh/km,940 km/h,"€72,990"
Peugeot e-208 ,46.3,Available since November 2021,8.1 sec,150 km/h,285 km,162 Wh/km,460 km/h,"€39,100"
BMW i7 xDrive60,101.7,Available since November 2022,4.7 sec,240 km/h,510 km,199 Wh/km,760 km/h,"€139,900"
Renault Zoe ZE50 R110,52,Available since November 2019,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,"€36,840"
Hongqi E-HS9 99 kWh,90,Available since December 2022,4.9 sec,200 km/h,370 km,243 Wh/km,430 km/h,N/A
Volkswagen ID. Buzz Pro,77,Available since September 2022,10.2 sec,145 km/h,345 km,223 Wh/km,480 km/h,"€64,581"
Fiat 500e Hatchback 42 kWh,37.3,Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,"€34,990"
Audi Q8 e-tron 55 quattro,106,Available since December 2022,5.6 sec,200 km/h,495 km,214 Wh/km,630 km/h,"€85,300"
BMW i4 eDrive35,67,Available since November 2022,6.0 sec,190 km/h,430 km,156 Wh/km,580 km/h,"€56,500"
Hyundai IONIQ 6 Long Range AWD,74,Available since November 2022,5.1 sec,185 km/h,440 km,168 Wh/km,1150 km/h,"€61,100"
Kia EV6 Long Range 2WD,74,Available since October 2021,7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,"€51,990"
Volkswagen ID.3 Pro,58,Available since March 2023,7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,"€39,995"
Toyota bZ4X FWD,64,Available since June 2022,7.5 sec,160 km/h,340 km,188 Wh/km,510 km/h,"€47,490"
Volkswagen ID.4 Pro,77,Available since February 2022,10.4 sec,160 km/h,410 km,188 Wh/km,630 km/h,N/A
Mini Cooper SE ,28.9,Available since March 2021,7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,"€35,700"
