Model,Usable,Year,Acceleration,Top Speed,Range,Efficiency,Fast Charge,Price (in UK Dollar)
Tesla Model Y Long Range Dual Motor,75,Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,"£52,990"
Tesla Model 3 ,57.5,Available since December 2021,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,"£42,990"
BYD ATTO 3 ,60.5,Available since August 2022,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,"£36,490"
Tesla Model Y ,57.5,Available since November 2022,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"£44,990"
Tesla Model 3 Long Range Dual Motor,75,Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,"£50,990"
MG MG4 Electric 64 kWh,61.7,Available since October 2022,7.9 sec,160 km/h,360 km,171 Wh/km,420 km/h,"£29,495"
BMW iX xDrive40,71,Available since October 2021,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,"£69,905"
Tesla Model Y Performance,75,Available since March 2022,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,"£59,990"
Smart #1 ,62,Available since March 2023,6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,"£35,950"
BMW i4 eDrive40,80.7,Available since November 2021,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,"£57,890"
Tesla Model S Plaid,95,Available since November 2022,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,"* £115,000"
BMW iX1 xDrive30,64.7,Available since November 2022,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,"£53,245"
Audi e-tron GT RS,85,Available since March 2021,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,"£119,000"
Volvo EX30 Single Motor ER,64,Available since June 2023,5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,"£38,545"
Skoda Enyaq iV 80,77,Available since April 2021,8.6 sec,160 km/h,440 km,175 Wh/km,680 km/h,"£42,925"
BMW iX3 ,74,Available since September 2021,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,"£64,165"
Tesla Model 3 Performance,75,Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,"£57,990"
Kia Niro EV ,64.8,Available since June 2022,7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,"£37,295"
Mercedes EQS 450+,107.8,Available since October 2021,6.2 sec,210 km/h,635 km,170 Wh/km,950 km/h,"£105,610"
Mercedes EQE 350+,90.6,Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,N/A
Fiat 500e Hatchback 42 kWh,37.3,Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,"£31,195"
BMW i4 M50,80.7,Available since November 2021,3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,"£71,085"
BYD HAN ,85.4,Available since March 2023,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,N/A
Hyundai Kona Electric 64 kWh,64,Available since June 2021,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,N/A
